N, T1, Tp, p
1000, 6.928e-06, 6.928e-06, 1
1000, 7.209e-06, 2.908e-05, 2
1000, 6.931e-06, 6.5842e-05, 3
1000, 6.979e-06, 0.00016502, 4
1000, 7.109e-06, 0.000132218, 5
1000, 7.083e-06, 0.000199079, 6
1000, 6.966e-06, 0.000199281, 7
1000000, 0.00673279, 0.00673279, 1
1000000, 0.00673973, 0.00340345, 2
1000000, 0.0067208, 0.00233671, 3
1000, 6.911e-06, 0.000202792, 8
1000000, 0.00669826, 0.00182024, 4
1000000, 0.00669958, 0.00153357, 5
1000000, 0.00670098, 0.00127564, 6
1000000, 0.00670255, 0.00115986, 7
1000000, 0.00670386, 0.00101961, 8
100000000, 0.673351, 0.673351, 1
100000000, 0.670675, 0.225254, 3
100000000, 0.671107, 0.335319, 2
100000000, 0.67047, 0.167617, 4
100000000, 0.670203, 0.134374, 5
100000000, 0.670037, 0.111909, 6
100000000, 0.67029, 0.0958336, 7
100000000, 0.669951, 0.0838872, 8
